2017-08-29 17:39:05 [main] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
2017-08-29 17:39:05 [main] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2017-08-29 17:39:05 [main] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2017-08-29 17:39:05 [main] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
2017-08-29 17:39:05 [main] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2017-08-29 17:39:05 [main] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
2017-08-29 17:39:05 [main] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2017-08-29 17:39:05 [main] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
2017-08-29 17:39:05 [main] INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2017-08-29 17:39:05 [main] INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2017-08-29 17:39:05 [main] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1503999545894 with initial instances count: 1
2017-08-29 17:39:06 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application vm-eureka-server-cluster with eureka with status UP
2017-08-29 17:39:06 [main] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1503999546021, current=UP, previous=STARTING]
2017-08-29 17:39:06 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_VM-EUREKA-SERVER-CLUSTER/vm-eureka-server-cluster:80: registering service...
2017-08-29 17:39:06 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_VM-EUREKA-SERVER-CLUSTER/vm-eureka-server-cluster:80 - registration status: 204
2017-08-29 17:39:06 [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 0
2017-08-29 17:39:06 [main] INFO  o.s.b.a.e.jmx.EndpointMBeanExporter - Located managed bean 'infoEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=infoEndpoint]
2017-08-29 17:39:06 [main] INFO  o.s.b.a.e.jmx.EndpointMBeanExporter - Located managed bean 'metricsEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=metricsEndpoint]
2017-08-29 17:39:06 [main] INFO  o.s.b.a.e.jmx.EndpointMBeanExporter - Located managed bean 'shutdownEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=shutdownEndpoint]
2017-08-29 17:39:06 [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
2017-08-29 17:39:06 [main] INFO  o.s.c.n.h.HystrixCircuitBreakerConfiguration$HystrixMetricsPollerConfiguration - Starting poller
2017-08-29 17:39:06 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-80"]
2017-08-29 17:39:06 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-80"]
2017-08-29 17:39:06 [main] INFO  o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2017-08-29 17:39:06 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 80 (http)
2017-08-29 17:39:06 [main] INFO  org.vm.server.cluster.Application - Started Application in 15.434 seconds (JVM running for 21.503)
2017-08-29 17:39:16 [http-nio-80-exec-7] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2017-08-29 17:39:16 [http-nio-80-exec-7] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
